activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,clt,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/clt/gn/,2015-01-16,2099-12-16,1020,0.16,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/evspsbl/gn/,2015-01-16,2099-12-16,1020,0.17,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2099-12-16,1020,0.171,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,hfss,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/hfss/gn/,2015-01-16,2099-12-16,1020,0.175,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,hus,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/hus/gn/,2015-01-16,2099-12-16,1020,2.5,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/pr/gn/,2015-01-16,2099-12-16,1020,0.174,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,prw,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/prw/gn/,2015-01-16,2099-12-16,1020,0.159,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,ps,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/ps/gn/,2015-01-16,2099-12-16,1020,0.136,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/psl/gn/,2015-01-16,2099-12-16,1020,0.115,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rlds,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rlds/gn/,2015-01-16,2099-12-16,1020,0.153,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rlus,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rlus/gn/,2015-01-16,2099-12-16,1020,0.143,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rlut/gn/,2015-01-16,2099-12-16,1020,0.15,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rlutcs/gn/,2015-01-16,2099-12-16,1020,0.138,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rsds,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rsds/gn/,2015-01-16,2099-12-16,1020,0.151,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rsdt/gn/,2015-01-16,2099-12-16,1020,0.0897,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rsus,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rsus/gn/,2015-01-16,2099-12-16,1020,0.154,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/rsut/gn/,2015-01-16,2099-12-16,1020,0.152,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,ta,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/ta/gn/,2015-01-16,2099-12-16,1020,1.99,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/tas/gn/,2015-01-16,2099-12-16,1020,0.125,2019-11-12,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,tauu,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/tauu/gn/,2015-01-16,2099-12-16,1020,0.176,2019-11-13,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,tauv,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/tauv/gn/,2015-01-16,2099-12-16,1020,0.18,2019-11-13,created,
ScenarioMIP,CAMS,CAMS-CSM1-0,ssp119,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/CAMS/CAMS-CSM1-0/ssp119/r1i1p1f1/Amon/ts/gn/,2015-01-16,2099-12-16,1020,0.126,2019-11-13,created,
