activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,cl,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/cl/gn/,2015-01-16,2100-12-16,1032,1.03,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,cli,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/cli/gn/,2015-01-16,2100-12-16,1032,1.04,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.0485,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,clt,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.0453,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,clw,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/clw/gn/,2015-01-16,2100-12-16,1032,0.694,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.0486,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.0491,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.0494,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,hfss,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.0497,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,hurs,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/hurs/gn/,2015-01-16,2100-12-16,1032,0.043,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,mc,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/mc/gn/,2015-01-16,2100-12-16,1032,0.969,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,o3,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/o3/gn/,2015-01-16,2100-12-16,1032,0.771,2019-12-15,created,
ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,Amon,pfull,gn,gs://cmip6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r1i1p1f1/Amon/pfull/gn/,2015-01-16,2100-12-16,1032,1,2019-12-15,created,
