activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.0947,2020-01-22,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.0946,2020-02-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0956,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.0646,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0641,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.0821,2020-01-24,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/rlutcs/gn/,2015-01-16,2100-12-16,1032,0.0774,2020-01-24,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/rsdt/gn/,2015-01-16,2100-12-16,1032,0.0022,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/rsut/gn/,2015-01-16,2100-12-16,1032,0.0818,2020-01-24,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/rsutcs/gn/,2015-01-16,2100-12-16,1032,0.0782,2020-01-25,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/tas/gn/,2015-01-16,2100-12-16,1032,0.0702,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/tasmax/gn/,2015-01-16,2100-12-16,1032,0.0705,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/tasmin/gn/,2015-01-16,2100-12-16,1032,0.0706,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.071,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0967,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0986,2020-01-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,LImon,snw,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/LImon/snw/gn/,2015-01-16,2100-12-16,1032,0.0306,2020-02-27,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Lmon,mrro,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Lmon/mrro/gn/,2015-01-16,2100-12-16,1032,0.0467,2020-02-26,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Lmon,mrso,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Lmon/mrso/gn/,2015-01-16,2100-12-16,1032,0.0344,2020-02-27,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Lmon,mrsos,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Lmon/mrsos/gn/,2015-01-16,2100-12-16,1032,0.0364,2020-02-27,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000578,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Ofx,basin,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Ofx/basin/gn/,NA,NA,NA,0.000525,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.000535,2020-02-06,created,
ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Ofx,thkcello,gn,gs://cmip6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Ofx/thkcello/gn/,NA,NA,NA,0.00749,2020-02-06,created,
