activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.173,2020-01-22,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,clt,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.231,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.164,2020-01-22,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.234,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.182,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,hfss,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.202,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,hurs,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/hurs/gn/,2015-01-16,2100-12-16,1032,0.153,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,hus,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/hus/gn/,2015-01-16,2100-12-16,1032,2.85,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,huss,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.159,2019-11-12,created,
ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp126,r1i1p1f1,Amon,o3,gn,gs://cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/Amon/o3/gn/,2015-01-16,2100-12-16,1032,3.73,2019-11-12,created,
