activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/evspsbl/gr/,2015-01-16,2100-12-16,1032,0.43,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,hurs,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/hurs/gr/,2015-01-16,2100-12-16,1032,0.369,2019-11-13,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,huss,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/huss/gr/,2015-01-16,2100-12-16,1032,0.391,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,pr,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/pr/gr/,2015-01-16,2100-12-16,1032,0.434,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,prsn,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/prsn/gr/,2015-01-16,2100-12-16,1032,0.196,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,prw,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/prw/gr/,2015-01-16,2100-12-16,1032,0.397,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,ps,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/ps/gr/,2015-01-16,2100-12-16,1032,0.323,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,psl,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/psl/gr/,2015-01-16,2100-12-16,1032,0.287,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,rlut,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/rlut/gr/,2015-01-16,2100-12-16,1032,0.357,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,rsut,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/rsut/gr/,2015-01-16,2100-12-16,1032,0.376,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,ta,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/ta/gr/,2015-01-16,2100-12-16,1032,5.51,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,tas,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/tas/gr/,2015-01-16,2100-12-16,1032,0.312,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,tasmax,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/tasmax/gr/,2015-01-16,2100-12-16,1032,0.313,2019-11-12,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,tasmin,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/tasmin/gr/,2015-01-16,2100-12-16,1032,0.315,2019-11-13,created,
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,ssp119,r1i1p1f1,Amon,ts,gr,gs://cmip6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp119/r1i1p1f1/Amon/ts/gr/,2015-01-16,2100-12-16,1032,0.316,2019-11-13,created,
