activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/AERmon/od550aer/gn/,2015-01-16,2055-12-16,492,0.0288,2020-02-23,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/clivi/gn/,2015-01-16,2055-12-16,492,0.0202,2020-02-28,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/clwvi/gn/,2015-01-16,2055-12-16,492,0.0203,2020-02-28,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2055-12-16,492,0.0229,2020-02-26,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/pr/gn/,2015-01-16,2055-12-16,492,0.03,2020-02-28,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/prsn/gn/,2015-01-16,2055-12-16,492,0.00909,2020-02-28,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/rlut/gn/,2015-01-16,2055-12-16,492,0.0189,2020-02-24,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/rlutcs/gn/,2015-01-16,2055-12-16,492,0.0182,2020-02-29,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/rsdt/gn/,2015-01-16,2055-12-16,492,0.00665,2020-02-24,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,rsut,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/rsut/gn/,2015-01-16,2055-12-16,492,0.0194,2020-02-24,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/rsutcs/gn/,2015-01-16,2055-12-16,492,0.0169,2020-02-29,created,
ScenarioMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/ssp370/r1i1p1f1/Amon/ts/gn/,2015-01-16,2055-12-16,492,0.0199,2020-02-08,created,
