activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,clivi,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/clivi/gr1/,2015-01-16,2100-12-16,1032,0.0712,2020-02-06,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,clwvi,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/clwvi/gr1/,2015-01-16,2100-12-16,1032,0.071,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,hfls,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/hfls/gr1/,2015-01-16,2100-12-16,1032,0.0754,2020-02-26,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,pr,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/pr/gr1/,2015-01-16,2100-12-16,1032,0.0751,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,prsn,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/prsn/gr1/,2015-01-16,2100-12-16,1032,0.0305,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,rlut,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/rlut/gr1/,2015-01-16,2100-12-16,1032,0.0647,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,rlutcs,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/rlutcs/gr1/,2015-01-16,2100-12-16,1032,0.0613,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/rsdt/gr1/,2015-01-16,2100-12-16,1032,0.0516,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,rsut,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/rsut/gr1/,2015-01-16,2100-12-16,1032,0.0645,2020-02-28,created,
ScenarioMIP,INM,INM-CM4-8,ssp126,r1i1p1f1,Amon,rsutcs,gr1,gs://cmip6/ScenarioMIP/INM/INM-CM4-8/ssp126/r1i1p1f1/Amon/rsutcs/gr1/,2015-01-16,2100-12-16,1032,0.0628,2020-02-28,created,
