activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,AERmonZ,o3,grz,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/AERmonZ/o3/grz/,2015-01-16,2100-12-16,1032,0,2020-02-08,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,AERmonZ,ta,grz,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/AERmonZ/ta/grz/,2015-01-16,2100-12-16,1032,0,2020-02-08,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,clt,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/clt/gr/,2015-01-16,2100-12-16,1032,0.0659,2019-11-12,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/evspsbl/gr/,2015-01-16,2100-12-16,1032,0.0701,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,hfls,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/hfls/gr/,2015-01-16,2100-12-16,1032,0.0708,2019-11-12,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,hfss,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/hfss/gr/,2015-01-16,2100-12-16,1032,0.0714,2019-11-12,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,hurs,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/hurs/gr/,2015-01-16,2100-12-16,1032,0.0619,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,hus,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/hus/gr/,2015-01-16,2100-12-16,1032,1.03,2019-11-12,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,huss,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/huss/gr/,2015-01-16,2100-12-16,1032,0.0656,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,o3,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/o3/gr/,2015-01-16,2100-12-16,1032,1.11,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,pr,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/pr/gr/,2015-01-16,2100-12-16,1032,0.0726,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,prsn,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/prsn/gr/,2015-01-16,2100-12-16,1032,0.0368,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,prw,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/prw/gr/,2015-01-16,2100-12-16,1032,0.0659,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,ps,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/ps/gr/,2015-01-16,2100-12-16,1032,0.0538,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,psl,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/psl/gr/,2015-01-16,2100-12-16,1032,0.0488,2019-11-01,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,rlds,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/rlds/gr/,2015-01-16,2100-12-16,1032,0.0624,2019-11-12,created,
ScenarioMIP,IPSL,IPSL-CM6A-LR,ssp119,r1i1p1f1,Amon,rlus,gr,gs://cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Amon/rlus/gr/,2015-01-16,2100-12-16,1032,0.0608,2019-11-12,created,
