activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,clt,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.0262,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.0279,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,hfls,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.0283,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,hfss,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.03,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,hurs,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/hurs/gn/,2015-01-16,2100-12-16,1032,0.0252,2019-11-13,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,hus,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/hus/gn/,2015-01-16,2100-12-16,1032,0.448,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,huss,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.0263,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,pr,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0284,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,prsn,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.0116,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,prw,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/prw/gn/,2015-01-16,2100-12-16,1032,0.0264,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,ps,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/ps/gn/,2015-01-16,2100-12-16,1032,0.0216,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,psl,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0195,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,rlds,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/rlds/gn/,2015-01-16,2100-12-16,1032,0.0249,2019-11-12,created,
ScenarioMIP,MIROC,MIROC-ES2L,ssp119,r1i1p1f2,Amon,rlus,gn,gs://cmip6/ScenarioMIP/MIROC/MIROC-ES2L/ssp119/r1i1p1f2/Amon/rlus/gn/,2015-01-16,2100-12-16,1032,0.0244,2019-11-12,created,
