activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,Amon,psl,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0643,2020-02-28,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,Amon,tas,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/Amon/tas/gn/,2015-01-16,2100-12-16,1032,0.0707,2020-02-28,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,Amon,tasmax,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/Amon/tasmax/gn/,2015-01-16,2100-12-16,1032,0.0707,2020-02-28,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,Amon,tasmin,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/Amon/tasmin/gn/,2015-01-16,2100-12-16,1032,0.0716,2020-02-28,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,Amon,ts,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0715,2020-02-08,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp126,r1i1p1f3,SImon,siconc,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126/r1i1p1f3/SImon/siconc/gn/,2015-01-16,2100-12-16,1032,0.0867,2020-02-11,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,clivi,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.039,2020-01-22,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,clt,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.079,2019-11-10,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.044,2020-01-22,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.0934,2019-11-10,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,hfls,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.0894,2019-11-10,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,hfss,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.0885,2019-11-10,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,hurs,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/hurs/gn/,2015-01-16,2100-12-16,1032,0.0551,2019-11-10,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,hus,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/hus/gn/,2015-01-16,2100-12-16,1032,1.48,2019-10-25,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,huss,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.0875,2019-10-25,created,
ScenarioMIP,MOHC,HadGEM3-GC31-LL,ssp245,r1i1p1f3,Amon,pr,gn,gs://cmip6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245/r1i1p1f3/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0967,2019-10-25,created,
