activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,MPI-M,MPI-ESM1-2-HR,ssp585,r1i1p1f1,6hrLev,hus,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-HR/ssp585/r1i1p1f1/6hrLev/hus/gn/,2015-01-01,2101-01-01,125644,1890,2020-01-22,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-HR,ssp585,r1i1p1f1,6hrLev,ps,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-HR/ssp585/r1i1p1f1/6hrLev/ps/gn/,2015-01-01,2101-01-01,125644,20.4,2020-01-21,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-HR,ssp585,r1i1p1f1,6hrLev,ta,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-HR/ssp585/r1i1p1f1/6hrLev/ta/gn/,2015-01-01,2101-01-01,125644,1940,2020-01-23,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-HR,ssp585,r1i1p1f1,6hrLev,ua,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-HR/ssp585/r1i1p1f1/6hrLev/ua/gn/,2015-01-01,2101-01-01,125644,2200,2020-01-23,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-HR,ssp585,r1i1p1f1,6hrLev,va,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-HR/ssp585/r1i1p1f1/6hrLev/va/gn/,2015-01-01,2101-01-01,125644,2390,2020-01-21,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,clivi,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/clivi/gn/,2015-01-16,2100-12-16,1032,0.0445,2020-03-01,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,clwvi,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/clwvi/gn/,2015-01-16,2100-12-16,1032,0.0428,2020-03-01,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.0481,2020-02-26,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0632,2020-03-01,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.0199,2020-03-01,created,
ScenarioMIP,MPI-M,MPI-ESM1-2-LR,ssp126,r10i1p1f1,Amon,rlut,gn,gs://cmip6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp126/r10i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.0397,2020-03-01,created,
