activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,ch4,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/ch4/gn/,2015-01-16,2100-12-16,1032,0.365,2019-11-01,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,clt,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.161,2019-11-12,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,co2,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/co2/gn/,2015-01-16,2100-12-16,1032,0.267,2019-11-12,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.171,2019-11-01,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,hfls,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.172,2019-11-12,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,hfss,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.174,2019-11-12,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,hurs,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/hurs/gn/,2015-01-16,2100-12-16,1032,0.149,2019-11-01,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,hus,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/hus/gn/,2015-01-16,2100-12-16,1032,2.6,2019-11-12,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,huss,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.158,2019-11-01,created,
ScenarioMIP,MRI,MRI-ESM2-0,ssp119,r1i1p1f1,Amon,o3,gn,gs://cmip6/ScenarioMIP/MRI/MRI-ESM2-0/ssp119/r1i1p1f1/Amon/o3/gn/,2015-01-16,2100-12-16,1032,0.46,2019-11-01,created,
