activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,NCC,NorESM2-LM,ssp126,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp126/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0362,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp126,r1i1p1f1,SImon,siconc,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp126/r1i1p1f1/SImon/siconc/gn/,2015-01-16,2100-12-16,1032,0.116,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0362,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r1i1p1f1,SImon,siconc,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/SImon/siconc/gn/,2015-01-16,2100-12-16,1032,0.115,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r2i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r2i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0362,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r2i1p1f1,SImon,siconc,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r2i1p1f1/SImon/siconc/gn/,2015-01-16,2100-12-16,1032,0.115,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r3i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r3i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0362,2020-02-09,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r3i1p1f1,Omon,tauuo,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r3i1p1f1/Omon/tauuo/gn/,2015-01-16,2100-12-16,1032,0.328,2020-03-05,created,
ScenarioMIP,NCC,NorESM2-LM,ssp245,r3i1p1f1,Omon,tauvo,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r3i1p1f1/Omon/tauvo/gn/,2015-01-16,2100-12-16,1032,0.337,2020-03-05,created,
ScenarioMIP,NCC,NorESM2-LM,ssp370,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0362,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp370,r1i1p1f1,SImon,siconc,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r1i1p1f1/SImon/siconc/gn/,2015-01-16,2100-12-16,1032,0.115,2020-02-08,created,
ScenarioMIP,NCC,NorESM2-LM,ssp370,r2i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r2i1p1f1/Amon/ts/gn/,2015-01-16,2054-12-16,480,0.0169,2020-02-08,created,
