activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0644,2019-11-05,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,prsn,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.0315,2019-11-05,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0433,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,tas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/tas/gn/,2015-01-16,2100-12-16,1032,0.0472,2019-11-05,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/tasmax/gn/,2015-01-16,2100-12-16,1032,0.0472,2019-11-05,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/tasmin/gn/,2015-01-16,2100-12-16,1032,0.0473,2019-11-05,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0477,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0655,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,hfds,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/hfds/gn/,2015-01-16,2100-12-16,1032,0.214,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/mlotst/gn/,2015-01-16,2100-12-16,1032,0.116,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,so,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/so/gn/,2015-01-16,2101-01-06,1032,6.27,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,tauuo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/tauuo/gn/,2015-01-16,2100-12-16,1032,0.21,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,tauvo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/tauvo/gn/,2015-01-16,2100-12-16,1032,0.235,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,thetao,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/thetao/gn/,2015-01-16,2101-01-06,1032,7.97,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,tos,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/tos/gn/,2015-01-16,2100-12-16,1032,0.231,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,uo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/uo/gn/,2015-01-16,2101-01-06,1032,8.92,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,vo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/vo/gn/,2015-01-16,2101-01-06,1032,9.33,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r1i1p1f1,Omon,wo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/wo/gn/,2015-01-16,2101-01-06,1032,9.58,2019-11-08,created,
ScenarioMIP,NUIST,NESM3,ssp126,r2i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r2i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0433,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r2i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r2i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0477,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r2i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r2i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp126,r2i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp126/r2i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0655,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0433,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0477,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0655,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,hfds,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/hfds/gn/,2015-01-16,2100-12-16,1032,0.214,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/mlotst/gn/,2015-01-16,2100-12-16,1032,0.115,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,so,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/so/gn/,2015-01-16,2101-01-06,1032,6.27,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,tauuo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/tauuo/gn/,2015-01-16,2100-12-16,1032,0.21,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,tauvo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/tauvo/gn/,2015-01-16,2100-12-16,1032,0.235,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,thetao,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/thetao/gn/,2015-01-16,2101-01-06,1032,7.97,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,tos,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/tos/gn/,2015-01-16,2100-12-16,1032,0.231,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,uo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/uo/gn/,2015-01-16,2101-01-06,1032,8.92,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,vo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/vo/gn/,2015-01-16,2101-01-06,1032,9.33,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r1i1p1f1,Omon,wo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/wo/gn/,2015-01-16,2101-01-06,1032,9.58,2019-11-09,created,
ScenarioMIP,NUIST,NESM3,ssp245,r2i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r2i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0433,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r2i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r2i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0477,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r2i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r2i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp245,r2i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp245/r2i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0655,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0645,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0434,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0475,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,ua,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/ua/gn/,2015-01-16,2100-12-16,1032,1.14,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,va,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/va/gn/,2015-01-16,2100-12-16,1032,1.22,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0655,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,hfds,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/hfds/gn/,2015-01-16,2100-12-16,1032,0.212,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/mlotst/gn/,2015-01-16,2100-12-16,1032,0.113,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,so,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/so/gn/,2015-01-16,2101-01-06,1032,6.26,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,tauuo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/tauuo/gn/,2015-01-16,2100-12-16,1032,0.209,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,tauvo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/tauvo/gn/,2015-01-16,2100-12-16,1032,0.234,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,thetao,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/thetao/gn/,2015-01-16,2101-01-06,1032,7.96,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,tos,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/tos/gn/,2015-01-16,2100-12-16,1032,0.232,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,uo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/uo/gn/,2015-01-16,2101-01-06,1032,8.91,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,vo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/vo/gn/,2015-01-16,2101-01-06,1032,9.32,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r1i1p1f1,Omon,wo,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/wo/gn/,2015-01-16,2101-01-06,1032,9.57,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,pr,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.0645,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,psl,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.0433,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,ts,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/ts/gn/,2015-01-16,2100-12-16,1032,0.0475,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,ua,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/ua/gn/,2015-01-16,2100-12-16,1032,1.14,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,uas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/uas/gn/,2015-01-16,2100-12-16,1032,0.0639,2019-11-10,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,va,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/va/gn/,2015-01-16,2100-12-16,1032,1.22,2019-10-25,created,
ScenarioMIP,NUIST,NESM3,ssp585,r2i1p1f1,Amon,vas,gn,gs://cmip6/ScenarioMIP/NUIST/NESM3/ssp585/r2i1p1f1/Amon/vas/gn/,2015-01-16,2100-12-16,1032,0.0654,2019-11-10,created,
