activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,evspsbl,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/evspsbl/gn/,2015-01-17,2100-12-17,1032,0.0268,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,hfls,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/hfls/gn/,2015-01-17,2100-12-17,1032,0.0269,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,hfss,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/hfss/gn/,2015-01-17,2100-12-17,1032,0.0274,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,hurs,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/hurs/gn/,2015-01-17,2100-12-17,1032,0.0244,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,hus,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/hus/gn/,2015-01-17,2100-12-17,1032,0.387,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,huss,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/huss/gn/,2015-01-17,2100-12-17,1032,0.0251,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,pr,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/pr/gn/,2015-01-17,2100-12-17,1032,0.0278,2019-11-05,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,prsn,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/prsn/gn/,2015-01-17,2100-12-17,1032,0.0132,2019-11-05,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,ps,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/ps/gn/,2015-01-17,2100-12-17,1032,0.0206,2019-11-12,created,
ScenarioMIP,UA,MCM-UA-1-0,ssp126,r1i1p1f2,Amon,psl,gn,gs://cmip6/ScenarioMIP/UA/MCM-UA-1-0/ssp126/r1i1p1f2/Amon/psl/gn/,2015-01-17,2100-12-17,1032,0.0187,2019-11-10,created,
